id,name,age,gender,city,country,credit_card,full_address,user_sign_up_date,user_last_purchase_date,user_status,user_total_purchases,user_segment,user_location,user_source_type,user_last_login_date,user_purchase_frequency,product_name,category,subcategory,price,date_purchase,quantity,rating,comment
1347,Samuel Ramirez,150,F,Danielfort,India,2285934250594928,"Unit 7317 Box 5772, DPO AP 94453",2022-07-10,2023-06-05,Active,14,High Value,East Michelefurt,Organic Search,2023-08-09,Yearly,VegetablesBurst,Grocery,Vegetables,-19,2021-04-22,-4,5,Everybody culture area reason.
118,Heather Hodge,-1,F,North Natalie,Guadeloupe,2450733341993597,"2561 Thompson Street Suite 703, Jonesshire, MA 90426",2022-06-26,2022-07-15,Churned,6,Frequent Shopper,New Thomasmouth,Paid Ads,2022-10-25,Rarely,SofaPlus,Furniture,Sofa,850,2023-02-20,-4,6,After last call environment even TV.
1215,Mr. Connor Melton,45,F,Lake Nicole,El Salvador,5392707436084938,"4086 Madison Rue Apt. 820, South Thomas, ID 42973",2021-12-21,2023-02-20,Churned,3,Occasional Shopper,Samuelport,Organic Search,2023-06-09,Yearly,TastyBeverages,Grocery,Beverages,235,2022-02-03,6,3,Best too put the successful.
496,Cynthia West,25,M,South Darrell,Tunisia,5127294296722321,"6364 Anthony Heights Apt. 071, Lake Shane, DC 88576",2021-10-24,2023-08-24,Active,9,Frequent Shopper,West Samantha,Paid Ads,2023-08-24,Monthly,The Art of Non-fiction,Books,Non-fiction,769,2021-12-02,9,1,Once organization market itself guy.
919,Jeanne Smith,150,F,New Bruceborough,Jersey,2568560947502707,"88697 Michael Green, Lake Joshuamouth, OR 14278",2021-09-19,2022-10-31,Churned,10,Frequent Shopper,South Joseshire,Referral,2023-05-13,Yearly,TableDeluxe,Furniture,Table,-1,2020-10-17,0,3,Write teacher and edge.
619,Brian Pierce,150,M,New Danielle,Chad,2412855913198094,"75970 Barbara Meadow, Richardbury, NY 70392",2022-03-04,2022-10-05,Churned,2,Occasional Shopper,Gomezland,Referral,2022-11-16,Yearly,LaptopPro,Electronics,Laptop,-68,2021-07-03,-1,6,Fund my environmental.
214,Brian Martinez,150,F,Marquezland,China,2250864831339769,"07048 Newman View Suite 000, Pattersonville, IN 16068",2022-11-25,2023-02-16,Churned,7,Frequent Shopper,East Melissa,Referral,2023-05-06,Yearly,ProJacket,Clothing,Jacket,67,2022-05-09,-1,-1,Room security these address while different.
167,Daniel Trujillo,-1,F,South Joshua,North Macedonia,2642344781329174,"60544 Schroeder Spurs Apt. 652, South Preston, FM 34986",2023-06-23,2023-07-30,Active,13,High Value,Port Ryanstad,Organic Search,2023-08-18,Monthly,PantsFits,Clothing,Pants,239,2022-08-01,-5,2,Truth military prevent.
50,Stephen Dawson,-5,M,Danielsborough,Azerbaijan,2604973984183305,"785 Shaun Road, Gambleborough, LA 25007",2023-03-30,2023-05-04,Churned,11,High Value,Gonzalesmouth,Paid Ads,2023-08-15,Yearly,Non-fictionGuide,Books,Non-fiction,160,2021-11-05,-3,5,Magazine edge should hotel she small clearly.
260,Logan Rodriguez,25,M,Smithland,Solomon Islands,5140269617879441,"549 Allen Estates Apt. 012, Daviston, OH 88394",2021-09-08,2023-02-14,Churned,5,Occasional Shopper,Crystalhaven,Referral,2023-07-10,Yearly,,Clothing,Jacket,196,2021-03-22,-2,0,Likely choice lay begin defense truth trouble.
643,Gabriella Barnett,24,M,Lake Brianfort,Ethiopia,2280862831538269,"676 Jimenez Landing Apt. 041, Lake Kathy, MP 42946",2022-09-08,2022-12-16,Churned,6,Frequent Shopper,Higginsshire,Organic Search,2023-04-26,Yearly,ComfortTable,Furniture,Table,-30,2020-12-04,-3,2,As oil debate.
493,Laurie Miller,12,M,Lake Johnland,Central African Republic,5452873225776154,"7185 Parker Motorway, Port Andrewside, DC 37266",2022-06-24,2023-05-30,Active,2,Occasional Shopper,Christinafort,Organic Search,2023-08-17,Yearly,The Art of Non-fiction,Books,Non-fiction,-15,2021-12-06,2,-1,Age kid late put.
369,April Flores,150,M,Claytonberg,Somalia,2494305817092317,"6174 Joseph Lane Apt. 767, South Lindseytown, HI 21450",2023-04-14,2023-07-30,Active,15,High Value,Rodriguezton,Paid Ads,2023-08-13,Monthly,FictionTales,Books,Fiction,78,2023-04-12,0,-1,Year prepare everybody new seven newspaper across.
300,Peter Turner,-5,M,West Michael,Argentina,2308281712730945,"521 Alexander Canyon Suite 026, West Pamela, MI 84470",2023-06-13,2023-07-16,Active,6,Frequent Shopper,Pinedaport,Paid Ads,2023-07-30,Yearly,,Furniture,Sofa,-47,2023-02-06,7,4,Success just decision thank spend manager.
358,Mrs. Michelle Frank MD,20,F,Lake Billyborough,French Guiana,5253325072311123,"26302 Sparks Place Apt. 634, Cisnerosberg, ND 43362",2022-12-14,2023-03-05,Churned,4,Occasional Shopper,Davisshire,Referral,2023-08-14,Yearly,ChairDeluxe,Furniture,Chair,773,2021-08-18,0,0,Under mission system pressure your media.
239,Jimmy Oneill,1,F,Andersonfort,Marshall Islands,2261834040438345,"1013 Hansen Ranch, North Ashleyburgh, IN 28196",2021-10-21,2023-01-11,Churned,15,High Value,Andersonstad,Paid Ads,2023-04-28,Yearly,UltraLaptop,Electronics,Laptop,906,2022-12-23,4,5,Time one able in lot.
703,Eric Diaz,0,F,North Sherylville,Svalbard & Jan Mayen Islands,2245970583090274,"03735 Mike Wells, Jordanside, MD 24812",2021-09-02,2022-05-14,Churned,5,Occasional Shopper,West Jill,Organic Search,2023-05-05,Rarely,The Art of Fiction,Books,Fiction,632,2022-12-17,-4,0,Result senior above ever eat air.
699,Christina Thomas,150,M,East Christopher,Syrian Arab Republic,2271892377514177,"582 Kim Plain Suite 078, North Brandonberg, CO 36914",2022-10-26,2023-03-31,Churned,6,Frequent Shopper,East Hollyport,Referral,2023-07-30,Yearly,FreshVegetables,Grocery,Vegetables,-21,2023-01-03,9,0,Together various common face worker strategy close.
97,Gavin Collins,60,F,North Toddberg,Niger,2478576177997267,"935 Sarah Neck Suite 585, New Justinton, NJ 45416",2023-04-29,2023-08-08,Active,4,Occasional Shopper,Harristown,Paid Ads,2023-08-13,Monthly,FreshBeverages,Grocery,Beverages,718,2021-12-07,5,-1,Skill rest question commercial game run.
179,Mary Murphy,86,F,Jenniferside,Italy,2250664368736308,"8009 Christopher Key Apt. 013, North Heiditon, NV 45852",2021-11-26,2022-08-31,Churned,9,Frequent Shopper,Adamsport,Paid Ads,2022-11-09,Yearly,The Art of Non-fiction,Books,Non-fiction,145,2021-11-11,-3,0,Already technology media color commercial.
797,Jordan Miller,150,F,Port Jacquelineland,Hong Kong,2712681262007018,"1880 Young Landing, Nicholsonbury, PA 68271",2022-09-01,2023-05-28,Churned,5,Occasional Shopper,Ferrellberg,Paid Ads,2023-06-02,Yearly,SpeakerPro,Electronics,Speaker,961,2021-10-13,5,2,Least include continue probably show collection situation.
1419,Adam Evans,150,F,South Gilbertberg,Macao,2271515498954143,"886 Espinoza Highway Apt. 154, North Jessicaburgh, MI 85990",2022-06-14,2023-03-17,Churned,11,High Value,Kyleton,Referral,2023-03-17,Yearly,TastyBeverages,Grocery,Beverages,43,2020-09-01,-5,6,Police unit wear but out hit.
88,Teresa Hall,3,F,West Gabrielleview,Puerto Rico,5518341092401381,"56954 Riley Parks, Stewartmouth, MO 32886",2023-07-16,2023-08-15,Active,7,Frequent Shopper,Scottstad,Referral,2023-08-21,Monthly,ShirtFits,Clothing,Shirt,200,2022-11-29,0,5,Even morning production necessary bag fine gas these.
779,Julie Washington,150,M,Amberport,Micronesia,2575071524101096,"8854 Ronald Prairie, Hamiltonshire, CA 93145",2022-07-15,2022-07-21,Churned,3,Occasional Shopper,West Seanport,Organic Search,2023-04-19,Rarely,BeveragesBurst,Grocery,Beverages,-74,2022-07-16,-5,5,Wish sing I bed direction can maintain.
1143,Amy Andrews,150,M,Port Jasmineburgh,Ecuador,2535037449439092,"USCGC Lee, FPO AP 39987",2022-01-16,2023-04-11,Churned,5,Occasional Shopper,Huntborough,Organic Search,2023-06-30,Yearly,LaptopMaster,Electronics,Laptop,270,2023-08-19,-3,6,Size federal season marriage help fight foot.
345,Christopher Cox,4,F,New Kim,United States Minor Outlying Islands,2236709649571161,"1398 Rubio Locks, New Shelbybury, AL 56696",2022-04-22,2023-04-13,Churned,12,High Value,East Douglas,Paid Ads,2023-04-19,Yearly,FreshBeverages,Grocery,Beverages,-81,2021-07-23,-5,6,Protect word law decision message cell.
1495,Andre Smith,31,M,Marychester,Turks and Caicos Islands,2292024323556889,"USCGC Olsen, FPO AP 48988",2022-03-13,2022-11-01,Churned,12,High Value,South Gabriel,Referral,2022-11-02,Yearly,The Art of Educational,Books,Educational,-96,2022-02-02,4,2,Exactly just fall hit record few final ready.
111,Lauren Lambert,52,M,Valeriefort,Congo,5380524203464514,"07037 Darrell Court Apt. 372, East Brucehaven, DC 21516",2022-07-30,2022-12-04,Churned,12,High Value,West Joseph,Referral,2023-05-05,Yearly,The Art of Fiction,Books,Fiction,-82,2021-02-19,-5,3,Little effect collection focus describe leave lay but.
991,Maria Gonzales,35,M,Port Jennifer,Greenland,2719799816076702,"519 Emily Lake, Sandramouth, TN 45421",2023-05-02,2023-05-29,Active,8,Frequent Shopper,Garciaport,Paid Ads,2023-06-16,Yearly,FictionTales,Books,Fiction,523,2021-11-09,9,1,After plan television big fast huge.
297,Tom Cooper DDS,17,M,East Betty,Ukraine,2267594971280488,"USCGC Rogers, FPO AE 97112",2023-07-21,2023-08-22,Active,8,Frequent Shopper,West Michelleborough,Organic Search,2023-08-24,Monthly,FreshVegetables,Grocery,Vegetables,-25,2021-11-16,2,2,Those form world various town.
507,Oscar Bush,26,F,Reynoldsshire,Lebanon,2716911615369807,"913 Welch Lodge Apt. 729, Nancyshire, WY 09998",2022-09-23,2023-08-23,Active,1,Occasional Shopper,Tonyview,Paid Ads,2023-08-25,Monthly,EducationalGuide,Books,Educational,744,2022-08-16,6,2,Capital red executive trade official agency.
1393,Timothy Robinson MD,-3,F,Brianmouth,Belarus,2279663884859765,"985 Brent Ranch Apt. 682, New Amandaside, ID 83986",2022-03-31,2022-07-13,Churned,5,Occasional Shopper,Lake Megan,Paid Ads,2022-12-29,Rarely,FreshVegetables,Grocery,Vegetables,-46,2021-04-04,2,1,Doctor card particularly those everyone general role.
935,Colleen Wolfe,150,M,Chaseside,Reunion,2295182551186097,"431 Travis Coves, Parkerberg, WV 05418",2023-07-31,2023-08-10,Active,2,Occasional Shopper,New Pamela,Paid Ads,2023-08-21,Monthly,TastyBeverages,Grocery,Beverages,-80,2021-09-13,-4,6,Particular debate write bring society east.
145,Stacey Coleman,150,F,Jefferyfort,Turkmenistan,5384989678846188,"50637 Brooks Drives Suite 454, Lake Jasonview, AR 73663",2021-10-10,2022-03-12,Churned,2,Occasional Shopper,Kellytown,Paid Ads,2022-11-08,Rarely,ComfortTable,Furniture,Table,-48,2023-06-25,-1,5,Good support national.
333,Vincent Patton,150,M,Jacobmouth,Greece,2440511359091006,"44979 Casey Views Suite 609, Harperton, NV 18623",2022-01-10,2023-01-24,Churned,8,Frequent Shopper,East Craig,Paid Ads,2023-02-03,Yearly,FreshVegetables,Grocery,Vegetables,9,2021-09-10,-5,0,Kid look resource test important study her.
822,Eric Jenkins,4,F,Brookshaven,Samoa,2719156587969567,"PSC 8874, Box 3843, APO AP 26653",2022-02-24,2023-05-19,Churned,1,Occasional Shopper,Williambury,Organic Search,2023-05-31,Yearly,ChairPlus,Furniture,Chair,555,2021-07-23,-2,5,Throughout sister head stuff civil two.
664,Debbie Nguyen,-4,M,Port Loriborough,United States Virgin Islands,2271107948722542,"587 Hayden Stravenue, North Julieview, LA 47143",2022-09-13,2023-05-13,Churned,5,Occasional Shopper,Careyfurt,Paid Ads,2023-07-08,Yearly,SofaDeluxe,Furniture,Sofa,703,2022-12-23,5,4,Impact attention sound.
552,Kevin Miller,0,F,Lake Lindseychester,Australia,2459248663967443,"852 Michael Wall, Ellisonside, TN 15426",2022-05-30,2023-06-21,Active,8,Frequent Shopper,West Jeffreyside,Referral,2023-06-24,Yearly,Non-fictionTales,Books,Non-fiction,-3,2021-09-04,-2,5,Half information rather.
34,Jason Gilbert,150,M,New Chadhaven,British Virgin Islands,5290196934430533,"4983 Robinson Fork, Mcbrideville, NM 96000",2022-01-14,2022-02-12,Churned,13,High Value,Meganfort,Organic Search,2022-12-17,Rarely,ComfortChair,Furniture,Chair,954,2020-09-03,-5,0,Rise measure enough campaign wind impact.
818,Daniel Dickerson,56,M,South Shelby,Czech Republic,5406870458338980,"139 Johnson Field, West Robertfort, DE 80656",2023-05-19,2023-07-24,Active,15,High Value,South Ronald,Paid Ads,2023-07-30,Yearly,PantsFits,Clothing,Pants,444,2022-06-21,10,3,Employee look full use.
571,Jenny Adams,-4,M,Flemingburgh,Zimbabwe,5328658634022098,"51277 Steven Groves Apt. 972, Ewingfurt, MD 24727",2022-03-22,2022-04-02,Churned,7,Frequent Shopper,Denisefurt,Referral,2022-09-13,Rarely,FreshBeverages,Grocery,Beverages,-10,2021-06-05,-2,2,Money box truth.
682,Ellen Hutchinson,150,M,Port Brandonstad,Germany,2710756680999137,"3995 Vazquez Coves Suite 427, New Samueltown, ND 42601",2022-09-18,2023-02-17,Churned,2,Occasional Shopper,Lake Angela,Organic Search,2023-08-24,Yearly,ShirtFits,Clothing,Shirt,-74,2022-09-04,-1,0,Same operation daughter authority four.
413,Emily Taylor,5,F,North Cassiehaven,Maldives,2437878290970415,"2574 Jeremy Mews, Port Christianland, PR 40725",2021-12-09,2023-06-16,Active,10,Frequent Shopper,Nathanielmouth,Organic Search,2023-06-22,Yearly,TastyVegetables,Grocery,Vegetables,-61,2020-11-08,9,5,Huge never admit rest western among magazine.
231,Joshua Johnson,21,M,Lake Marvinburgh,Oman,5399670196699175,"05532 Erin Unions, Port Danielbury, RI 70293",2021-10-08,2023-05-09,Churned,8,Frequent Shopper,Duanestad,Referral,2023-05-24,Yearly,SofaPlus,Furniture,Sofa,-26,2023-07-30,6,-1,Operation strategy trial think friend.
556,Thomas Harris,150,M,Harrisberg,Holy See (Vatican City State),5200623560702454,"78920 Lopez Curve, Kennethberg, DE 64447",2023-05-26,2023-08-09,Active,5,Occasional Shopper,Mathisburgh,Paid Ads,2023-08-16,Monthly,BeveragesBurst,Grocery,Beverages,603,2021-09-09,8,2,Save PM per energy rather staff song.
981,Kevin Wright,150,M,North Allen,Saint Pierre and Miquelon,2239030432134571,"67570 Fox Isle, Lake Normanborough, IN 05383",2022-12-18,2023-07-06,Active,12,High Value,East Rachelview,Organic Search,2023-07-15,Yearly,MegaLaptop,Electronics,Laptop,-63,2021-02-20,-3,6,That still sport strong service chance apply.
1223,Lori Martinez,77,M,New Danielleland,Serbia,2253756616128754,"2527 Jones Parks Apt. 444, Krystalberg, AZ 51929",2022-11-08,2023-03-15,Churned,12,High Value,Shermanport,Referral,2023-07-27,Yearly,UltraSpeaker,Electronics,Speaker,947,2022-06-14,-1,4,Seat foot step.
103,Brendan Wall,150,M,Porterbury,Antarctica (the territory South of 60 deg S),2275236250226200,"62296 Anna Radial Apt. 508, New Joseph, VI 38902",2021-09-30,2022-06-05,Churned,4,Occasional Shopper,Bennettfort,Paid Ads,2022-10-11,Rarely,EducationalGuide,Books,Educational,939,2022-12-07,-5,6,Available crime throughout.
82,Adam Woods,150,F,Nicholasmouth,Liberia,5323295217659031,"691 Brandon Radial Apt. 991, New Thomasmouth, KS 42714",2021-09-24,2022-08-23,Churned,11,High Value,Matthewton,Organic Search,2022-11-26,Rarely,MegaPhone,Electronics,Phone,132,2022-06-20,10,1,Own say purpose.
986,William Lopez,28,F,Allisontown,Eritrea,5402865924203887,"USNV Ramos, FPO AP 78816",2022-02-15,2023-03-11,Churned,3,Occasional Shopper,South Kristinashire,Referral,2023-04-04,Yearly,PantsFits,Clothing,Pants,-51,2021-08-15,-3,0,Room usually Mrs concern network she.
1094,Tracey Roberts,0,M,Port Joshua,Saudi Arabia,2245175932275218,"93161 Ferrell Corner Apt. 787, Jordanfurt, KS 56092",2023-06-23,2023-07-04,Active,15,High Value,Christopherchester,Paid Ads,2023-08-25,Yearly,ProShirt,Clothing,Shirt,156,2021-02-07,3,2,Nearly painting news old development tend.
686,Jessica Williams,97,F,New Anthony,Liechtenstein,2372946793447053,"28430 Aaron Stream Suite 564, Stevenstad, RI 28670",2022-06-17,2022-11-21,Churned,11,High Value,Port Suzanne,Organic Search,2022-12-15,Yearly,Non-fictionGuide,Books,Non-fiction,944,2021-01-27,-1,5,Half ask few certainly.
1408,Janet Harvey,-3,F,North Brittany,Palestinian Territory,2282394277305233,"8525 Karen Squares, North Veronicafurt, IN 79741",2021-12-20,2022-12-02,Churned,3,Occasional Shopper,East Matthew,Paid Ads,2023-02-14,Yearly,ComfortTable,Furniture,Table,679,2023-04-12,-2,0,Group air drive need.
733,Matthew Ortiz,80,F,North Ian,Malta,2253995047456331,"5806 Adams Manor Suite 176, Tommyview, NC 96144",2023-03-08,2023-08-14,Active,1,Occasional Shopper,Williamsfort,Organic Search,2023-08-18,Monthly,JacketFits,Clothing,Jacket,625,2020-10-30,-4,4,Several computer you such mention soldier material born.
874,Cassandra Washington,150,M,Russellburgh,El Salvador,2265690442211011,"2399 Gutierrez Causeway, Lake Jonathan, NH 94584",2022-06-13,2023-05-15,Churned,15,High Value,Kellerstad,Paid Ads,2023-07-07,Yearly,UltraLaptop,Electronics,Laptop,-74,2023-03-10,3,4,Add use painting push single city growth.
597,Tracy Russell,64,F,Greeneshire,Ukraine,2717724029857963,"Unit 6146 Box 4728, DPO AP 93279",2023-08-25,2023-08-25,Active,8,Frequent Shopper,North Melissaport,Paid Ads,2023-08-25,Monthly,VegetablesBurst,Grocery,Vegetables,-48,2021-10-07,10,5,Size military begin ago employee land partner.
1323,Jennifer Mendoza,1,F,West Johnfurt,Latvia,5312522899429026,"3681 Patrick Skyway, Markburgh, NV 42169",2022-04-03,2022-07-01,Churned,11,High Value,Brittanybury,Paid Ads,2022-08-15,Rarely,SofaDeluxe,Furniture,Sofa,-46,2020-11-04,2,2,Environment issue subject trial figure.
555,Scott Freeman MD,150,M,New Chad,Western Sahara,2273612085572806,"2355 Smith Roads Apt. 914, Briannaton, IA 03747",2021-11-01,2023-02-09,Churned,4,Occasional Shopper,Austinmouth,Paid Ads,2023-08-25,Yearly,ChairPlus,Furniture,Chair,817,2022-12-30,4,2,Series stage save.
168,Pamela Allen,28,F,Haleystad,Cyprus,2232142786997292,"8559 Hudson Highway, New Kevin, ME 58114",2022-12-14,2023-03-23,Churned,4,Occasional Shopper,Bakershire,Referral,2023-08-02,Yearly,MegaSpeaker,Electronics,Speaker,-41,2021-06-23,-4,0,Simple minute rule event.
549,Norman Frazier,64,M,South Marychester,Rwanda,5349796815853264,"743 Daniel Ridges, Brentburgh, CO 24466",2022-05-31,2022-06-01,Churned,15,High Value,Sarahshire,Organic Search,2023-06-02,Rarely,LaptopPro,Electronics,Laptop,-38,2021-03-27,4,1,Scientist game activity store to in Democrat.
747,Renee Hayes,-4,F,North Karenborough,Cocos (Keeling) Islands,5269689876498002,"PSC 2192, Box 6171, APO AA 09110",2022-01-07,2023-08-10,Active,1,Occasional Shopper,New Bridgetmouth,Referral,2023-08-18,Monthly,JacketWear,Clothing,Jacket,-17,2021-02-08,9,6,Miss itself ago smile face similar.
217,Shannon Price,150,M,North Curtisland,Comoros,5376928118720348,"8994 Olson Expressway Suite 761, Morganberg, AR 21366",2022-03-09,2022-07-04,Churned,6,Frequent Shopper,North Debraside,Referral,2022-09-15,Rarely,UltraPhone,Electronics,Phone,273,2021-07-20,5,4,Since minute analysis stage defense.
1111,Emily King,32,F,Bentonville,Macao,2720268701580043,"5888 Smith Inlet Suite 581, Port Jenniferchester, UT 56910",2021-10-20,2023-04-24,Churned,4,Occasional Shopper,Jonathanburgh,Organic Search,2023-06-17,Yearly,JacketFits,Clothing,Jacket,61,2023-04-07,-3,1,Particularly Mr only movie simple.
1153,Jennifer Villarreal,86,M,Lake Joshuamouth,Aruba,2221249892576689,"02508 Williams Road, Marissamouth, WI 47436",2023-03-10,2023-07-06,Active,11,High Value,Lake Mikechester,Referral,2023-07-15,Yearly,FreshSnacks,Grocery,Snacks,-30,2022-09-15,6,3,This scene would trade help white recent.
143,Michael Coleman,5,M,Reyestown,Cocos (Keeling) Islands,2712733051740554,"366 Jasmine Spring Suite 973, Port Cassandra, PA 87443",2023-06-14,2023-08-22,Active,1,Occasional Shopper,Cookborough,Organic Search,2023-08-22,Monthly,LaptopPro,Electronics,Laptop,534,2022-04-05,9,3,Environment personal least authority.
224,Benjamin Kline,84,M,Mariobury,Greenland,5231692107851176,"76032 Edwards Valley, Jacksonfurt, VA 58437",2022-02-09,2022-08-28,Churned,9,Frequent Shopper,West Andrewberg,Organic Search,2022-08-28,Yearly,TableDeluxe,Furniture,Table,464,2021-04-28,-5,-1,State partner term page.
80,Kyle Peters,-5,M,North Michael,Mismatched Country,2720117551989756,"4941 Clifford Ports Suite 603, Port Peter, AZ 72158",2023-04-06,2023-06-21,Active,6,Frequent Shopper,East Sherri,Paid Ads,2023-07-29,Yearly,,Furniture,Table,853,2021-09-23,0,2,Within west item all.
354,Daniel Powers,1,M,New Michaelborough,Denmark,2255830797742804,"772 Richard Garden, Fowlerfurt, MO 75691",2023-01-23,2023-06-04,Active,13,High Value,New Stephenborough,Organic Search,2023-06-15,Yearly,SofaPlus,Furniture,Sofa,-26,2022-10-01,4,5,I good perform stop able want.
1170,Edward Rose,57,F,Mezaton,Faroe Islands,5265621618941522,"09392 Fitzgerald Overpass, Ericksonburgh, VI 29615",2022-09-13,2023-06-09,Active,13,High Value,Kellyport,Paid Ads,2023-07-09,Yearly,PantsDeluxe,Clothing,Pants,-82,2021-10-07,-1,4,Close social number teacher hotel charge.
151,Connor Singleton,-3,F,North Jeremychester,Haiti,2269243716693526,"5592 Patricia Plaza, Lake Alexisstad, AR 30619",2022-07-03,2022-08-14,Churned,2,Occasional Shopper,Mauriceburgh,Paid Ads,2023-03-22,Rarely,Non-fictionTales,Books,Non-fiction,753,2020-11-26,7,6,Style assume protect outside land yet believe.
502,Charles Robinson,89,M,Grossport,Finland,2408174317302740,"4101 Conrad Key Suite 746, Debbieberg, IL 79443",2023-05-06,2023-06-11,Active,2,Occasional Shopper,Howardton,Paid Ads,2023-08-11,Yearly,FreshSnacks,Grocery,Snacks,-11,2021-09-09,-1,5,Then check produce serious social marriage.
133,Mark Ellis,150,M,New James,Tuvalu,2226158099978082,"81588 Copeland Curve Suite 106, Cynthialand, NM 38911",2023-02-01,2023-08-14,Active,13,High Value,Lake Jennifer,Organic Search,2023-08-19,Monthly,FictionTales,Books,Fiction,229,2023-03-11,1,6,Speech play some site.
915,Andrew Moran,150,M,Brownfurt,Dominican Republic,5523872562760081,"1372 Tina Cape, Rebekahtown, MI 23814",2022-06-24,2023-08-03,Active,3,Occasional Shopper,East Valerie,Paid Ads,2023-08-18,Monthly,ShirtWear,Clothing,Shirt,-92,2021-09-08,-5,3,Red agent agency set mention.
396,Derek Rojas,3,F,Leahton,Albania,2665558821077798,"69471 Allen Club, New Deborahstad, WI 16679",2022-05-12,2022-12-13,Churned,2,Occasional Shopper,Brendaside,Paid Ads,2023-05-21,Yearly,TableDeluxe,Furniture,Table,-84,2022-10-07,-5,1,Significant instead him against information see ball.
548,Brian Rose,10,F,Perezshire,Jordan,2610280035983994,"879 Nicholas Plains, New Michele, ID 79107",2023-03-11,2023-03-23,Churned,5,Occasional Shopper,Kennedyburgh,Referral,2023-07-29,Yearly,TastyVegetables,Grocery,Vegetables,-24,2022-01-30,10,0,Vote remember set low give near sort.
1041,Elizabeth Hall,95,M,West Marissa,Benin,2706882603597752,"64305 Turner Summit Apt. 923, South Jeffrey, MT 10213",2022-04-16,2023-04-06,Churned,15,High Value,New Christopher,Organic Search,2023-07-16,Yearly,Non-fictionGuide,Books,Non-fiction,19,2023-07-21,6,-1,Election bill even like though dog second his.
701,Jennifer Patterson,150,M,West Anthony,Burkina Faso,5391524117306873,"7594 Kevin Shoals, Davisshire, IL 11488",2021-10-15,2022-01-14,Churned,5,Occasional Shopper,Crawfordton,Referral,2022-05-22,Rarely,FreshSnacks,Grocery,Snacks,374,2023-08-14,0,0,Big while quite range image sometimes.
