CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,DateOrder,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,LocationWarehouse,Capacity,SupplierID,Company,LocationSupplier,QualityScore
3943,Caitlin Harris,susan30@example.com,43,Female,East Laurenland,8,Clothing,Shoes,591.73,42.23,37x14x6,3943,11-21-2020,£1454.8,Express,Cancelled,3943,305,467,2021-04-29,172,North Jessefurt,9981,9,Johnson-Rodriguez,Katherineborough,7.81
8298,Debra Collins,darrell28@example.net,55,Female,Tonyfurt,8,Clothing,Shoes,770.84,13.63,22x12x32,8298,10-19-2021,€268.76,Standard,Cancelled,8298,811,107,2020-09-03,238,South Jamie,15423,7,Miller Group,Clarkmouth,6.56
6241,Kimberly Cunningham,xjuarez@example.com,41,Male,Jasmineton,0,Electronics,Smart Watches,545.4,42.54,49x35x45,6241,02-14-2022,€666.65,Standard,Pending,6241,989,57,2022-08-27,331,Julieshire,5795,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
3259,Benjamin Combs,uwells@example.com,31,Male,Port Donnaburgh,10,Electronics,Laptops,394.04,23.1,25x18x6,3259,08/08/2021,$713.92,Two-day,Delivered,3259,465,448,2021-09-24,204,North Monicaville,14702,9,Johnson-Rodriguez,Katherineborough,7.81
685,Don Marshall,ronaldlee@example.org,47,Female,North Matthew,3,Furniture,Cabinets,459.97,38.61,40x50x22,685,2021-01-30,£2393.88,Express,Cancelled,685,508,435,2021-01-24,143,Jamesburgh,9181,8,Parks-Gallegos,Jenkinsside,6.82
976,Eric Suarez,xpreston@example.org,39,Female,Jenniferside,21,Furniture,Sofas,123.14,10.75,47x15x40,976,10/12/2022,€58.35,Two-day,Shipped,976,900,426,2020-09-16,375,Brianatown,6918,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
4435,Jennifer Carrillo,gwatts@example.com,58,Female,Joyceshire,13,Electronics,Headphones,697.56,35.22,46x45x35,4435,2023-02-22,$410.55,Two-day,Shipped,4435,564,17,2022-03-29,98,Whitemouth,9656,9,Johnson-Rodriguez,Katherineborough,7.81
8262,Michael Vega,alecharrison@example.net,60,Male,Meghanbury,3,Furniture,Cabinets,874.02,13.62,49x36x4,8262,10-15-2021,$526.32,Standard,Cancelled,8262,608,464,2022-02-18,328,North Jenniferburgh,10835,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
5171,Cesar Johnson,rosarioleslie@example.net,45,Male,Port Kimberlytown,2,Electronics,Mobile Phones,217.49,2.84,17x15x19,5171,2022-12-05,£527.54,Standard,Cancelled,5171,519,169,2021-02-01,209,Austinville,9637,8,Parks-Gallegos,Jenkinsside,6.82
2103,Matthew Newman MD,ewalker@example.com,63,Male,Hayeschester,1,Electronics,Cameras,258.93,45.32,27x1x37,2103,02-23-2021,€2226.36,Express,Cancelled,2103,208,44,2021-09-23,418,East David,12671,9,Johnson-Rodriguez,Katherineborough,7.81
6316,Mark Gibbs,robin66@example.com,54,Female,East Michaelfurt,0,Electronics,Smart Watches,87.39,46.99,39x16x10,6316,30/01/2023,£467.43,Two-day,Pending,6316,204,130,2021-08-23,452,Brownmouth,12640,5,Morgan LLC,Port Robynmouth,1.23
5541,Julia Wagner,charles14@example.com,36,Male,Millerbury,12,Clothing,Dresses,845.93,13.09,50x6x32,5541,15/06/2022,$1315.05,Express,Cancelled,5541,563,406,2021-04-05,255,North Kim,18260,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
5919,Tiffany Bowers,william34@example.org,24,Female,East Tim,1,Electronics,Cameras,969.12,22.55,19x49x14,5919,29/10/2022,£800.09,Express,Shipped,5919,38,327,2021-10-10,20,Thompsonstad,11837,2,Miller-Pearson,Clarkmouth,9.83
2657,Natalie Fisher,kelly56@example.org,70,Female,Jasonmouth,10,Electronics,Laptops,851.18,33.84,32x35x34,2657,01-26-2022,€826.1,Two-day,Shipped,2657,455,201,2021-09-29,5,East Coltonstad,13701,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
54,Erica Pruitt,abrown@example.com,41,Female,Mayerside,1,Electronics,Cameras,796.36,35.02,44x39x17,54,03-14-2023,€3724.24,Standard,Cancelled,54,683,387,2022-03-08,233,South Teresaton,8497,3,Johnson-Rodriguez,Katherineborough,7.4
3339,Hannah Kane,laura62@example.net,65,Female,Brownfort,48,Clothing,Jeans,706.59,3.83,29x21x37,3339,2022-03-29,$1377.34,Express,Delivered,3339,763,397,2021-10-01,140,North Derrickmouth,5791,6,Morgan LLC,New Marktown,2.48
7963,Bryan Williams,kleinjeremy@example.org,50,Female,New Kimberlyborough,13,Electronics,Headphones,886.8,18.06,18x18x2,7963,01-27-2022,$81.01,Two-day,Pending,7963,273,288,2021-10-17,431,East Ann,10695,7,Miller Group,Clarkmouth,6.56
4605,Ricky Gutierrez,frazierkimberly@example.org,66,Female,East Kevin,13,Electronics,Headphones,332.95,32.21,32x12x37,4605,04-21-2021,$398.94,Express,Shipped,4605,541,255,2022-02-20,265,Smithport,6120,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
253,Andrew Carlson,igentry@example.net,50,Male,Connormouth,4,Clothing,T-Shirts,175.03,44.26,29x18x32,253,08-20-2021,$2356.1,Express,Pending,253,79,402,2021-07-12,435,Robynland,10387,0,Johnson-Rodriguez,Port Robynmouth,
8217,Angela Moore,madisonromero@example.org,68,Male,New William,11,Clothing,Hats,946.75,40.67,43x2x17,8217,01-30-2021,€2015.04,Standard,Pending,8217,826,284,2021-01-22,443,West Morgan,7785,8,Parks-Gallegos,Jenkinsside,6.82
405,Joshua Hess,kfischer@example.org,61,Female,Fisherside,6,Furniture,Chairs,202.89,43.46,47x34x38,405,2023-03-23,£2715.2,Two-day,Pending,405,125,135,2022-05-04,56,South Kristinmouth,14672,5,Morgan LLC,Port Robynmouth,1.23
7688,Kelsey Morris,jeffrey23@example.org,52,Male,Jessicabury,12,Clothing,Dresses,188.86,41.03,1x6x13,7688,01/04/2023,£1092.6,Two-day,Pending,7688,246,360,2021-05-03,18,West Jasonshire,14204,6,Morgan LLC,New Marktown,2.48
1330,Roger Davis,raymondnicole@example.org,18,Male,Lake Lancemouth,11,Clothing,Hats,511.58,11.56,36x37x3,1330,10-16-2022,£3691.36,Standard,Pending,1330,415,413,2021-10-04,382,East Frank,6029,2,Miller-Pearson,Clarkmouth,9.83
8893,Travis Jackson,hcoleman@example.com,43,Female,Patrickfort,11,Clothing,Hats,381.49,49.1,22x39x7,8893,07-29-2023,€858.34,Express,Pending,8893,374,159,2021-03-13,330,East Ashley,17124,3,Johnson-Rodriguez,Katherineborough,7.4
873,Natasha Mason,donald41@example.org,32,Male,Port Luisport,11,Clothing,Hats,871.31,16.68,9x29x17,873,23/09/2022,$835.84,Express,Shipped,873,354,13,2022-06-26,318,Lake Erika,6372,0,Johnson-Rodriguez,Port Robynmouth,
4026,Kristie Hernandez,khanemma@example.com,21,Male,New Susanfort,16,Furniture,Tables,38.91,42.63,4x38x29,4026,11/02/2023,$3323.15,Two-day,Pending,4026,360,483,2022-05-10,150,Toddhaven,9326,0,Johnson-Rodriguez,Port Robynmouth,
5904,Derek Reynolds,anthony57@example.net,49,Male,New Lisa,13,Electronics,Headphones,797.43,30.03,8x23x33,5904,24/04/2022,£498.26,Two-day,Delivered,5904,694,167,2021-08-17,223,South Mark,16298,3,Johnson-Rodriguez,Katherineborough,7.4
1772,Jacqueline Webster,garciakelly@example.net,66,Female,Nicolechester,10,Electronics,Laptops,761.51,25.56,36x22x46,1772,18/08/2022,£913.93,Standard,Cancelled,1772,649,422,2021-05-14,236,Hallview,10609,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
5146,Lindsay Walsh,carla91@example.org,46,Female,Elizabethmouth,2,Electronics,Mobile Phones,572.5,21.32,17x18x26,5146,28/04/2023,£1322.0,Two-day,Pending,5146,918,465,2022-06-09,302,Nathanland,17898,7,Miller Group,Clarkmouth,6.56
5362,Rhonda Delgado,chorton@example.com,22,Male,South Steven,21,Furniture,Sofas,972.86,14.69,7x24x31,5362,2023-04-04,€2608.5,Standard,Pending,5362,764,305,2020-12-23,62,Castilloshire,7702,5,Morgan LLC,Port Robynmouth,1.23
7189,Rita Coffey,wguzman@example.org,36,Male,New Emilyshire,13,Electronics,Headphones,258.36,42.77,22x28x9,7189,06-21-2021,£83.37,Standard,Cancelled,7189,213,136,2022-05-04,184,Tuckerhaven,16439,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
9530,Robert James,danieljones@example.com,19,Male,Smithstad,3,Furniture,Cabinets,49.85,31.96,25x9x47,9530,2022-10-05,€790.32,Standard,Pending,9530,113,96,2021-03-04,245,North Kathryn,12829,7,Miller Group,Clarkmouth,6.56
3809,Cory Edwards,myersheather@example.org,36,Female,Stevensonborough,4,Clothing,T-Shirts,506.87,4.85,39x35x20,3809,2022-07-27,€227.16,Standard,Shipped,3809,334,135,2022-07-09,422,Burnsburgh,9844,9,Johnson-Rodriguez,Katherineborough,7.81
1235,Brian Holder,antonio56@example.net,42,Female,East Kenneth,11,Clothing,Hats,494.34,41.47,33x32x16,1235,08-24-2022,€398.94,Express,Pending,1235,341,245,2022-02-22,360,Ericville,13688,7,Miller Group,Clarkmouth,6.56
147,Kenneth Myers,nicholas58@example.com,50,Male,South Leemouth,2,Electronics,Mobile Phones,38.64,50.0,39x45x46,147,2022-12-01,$2642.4,Express,Pending,147,306,35,2020-10-14,137,Marialand,10983,2,Miller-Pearson,Clarkmouth,9.83
2666,Donna Green,kayla12@example.com,46,Female,Calebtown,9,Furniture,Beds,672.93,29.56,36x43x3,2666,2021-11-05,€2893.2,Standard,Shipped,2666,651,173,2022-06-14,85,Jacquelineborough,15530,9,Johnson-Rodriguez,Katherineborough,7.81
7480,Brittany Yates,qclark@example.net,70,Male,North Susanstad,0,Electronics,Smart Watches,573.91,40.79,36x9x44,7480,10-03-2021,$13.95,Express,Cancelled,7480,684,328,2022-02-13,56,South Kristinmouth,14672,9,Johnson-Rodriguez,Katherineborough,7.81
7682,Tami Evans,vhayes@example.com,19,Female,Kathrynchester,0,Electronics,Smart Watches,556.34,42.32,1x50x37,7682,2023-03-12,€839.62,Two-day,Shipped,7682,514,121,2021-08-02,225,West Edwardville,19755,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
9465,Troy Watson,brownronald@example.com,57,Male,Port Josephport,3,Furniture,Cabinets,449.34,24.81,27x30x45,9465,08-18-2021,€1093.32,Express,Delivered,9465,292,352,2021-02-19,342,North Jennahaven,11583,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
4510,Christian Armstrong,francislori@example.org,70,Female,East Manuel,0,Electronics,Smart Watches,175.78,22.14,48x3x47,4510,12/04/2023,£1140.92,Standard,Shipped,4510,678,209,2022-01-22,357,Gomeztown,17698,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
711,Melinda Edwards,gaystacy@example.com,31,Female,Tonyberg,16,Furniture,Tables,808.27,35.64,35x42x41,711,2023-04-09,$730.26,Standard,Delivered,711,860,485,2020-11-08,288,Dickersonfurt,11478,5,Morgan LLC,Port Robynmouth,1.23
1973,Shirley Nichols,valdezdaniel@example.org,50,Female,Henryport,16,Furniture,Tables,135.91,27.74,26x37x31,1973,10/03/2023,€1583.85,Express,Shipped,1973,71,183,2022-03-18,470,New Jenniferbury,14242,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
3652,Tyler Young,mcoleman@example.com,21,Male,North Christopher,9,Furniture,Beds,826.63,47.3,33x20x36,3652,2022-05-24,€2016.0,Express,Delivered,3652,805,289,2021-06-26,374,Williamschester,7140,6,Morgan LLC,New Marktown,2.48
5784,Anthony Thompson,angela16@example.com,28,Male,East Jeremy,0,Electronics,Smart Watches,311.82,25.33,41x7x12,5784,2021-01-15,£1997.67,Two-day,Delivered,5784,276,338,2020-12-27,272,East Brittanyfort,18483,9,Johnson-Rodriguez,Katherineborough,7.81
4400,Angela Sanders,,47,Female,South Mark,9,Furniture©,Beds,296.72,14.63,44x3x38,4400,2021-02-12,$209.38,Express,Shipped,4400,161,395,2020-09-25,99,South Stephaniefurt,11136,2,Miller-Pearson,Clarkmouth,9.83
2582,Heather Owens,heather82@example.net,18,Male,Port Christophermouth,6,Furniture,Chairs,314.21,36.69,1x49x45,2582,29/08/2022,€441.69,Standard,Pending,2582,272,297,2021-01-16,130,Jonesbury,8468,6,Morgan LLC,New Marktown,2.48
3534,Brian Rasmussen,sandra82@example.com,25,Female,Lake Michael,11,Clothing,Hats,414.24,12.36,45x43x25,3534,2021-07-14,£773.62,Express,Pending,3534,805,446,2022-05-29,399,New Laurie,18901,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
7429,Johnny Juarez,xmurphy@example.net,66,Male,East Donald,21,Furniture,Sofas,210.09,45.85,10x25x15,7429,2023-01-19,$1269.28,Express,Delivered,7429,394,37,2021-02-15,283,North Johntown,5047,8,Parks-Gallegos,Jenkinsside,6.82
8357,Todd Gonzales,danielharvey@example.net,45,Male,Adamshire,21,Furniture,Sofas,67.53,49.55,29x28x5,8357,05-27-2023,£1421.56,Standard,Pending,8357,972,130,2021-07-11,410,South Annberg,7512,0,Johnson-Rodriguez,Port Robynmouth,
6025,Jeremy Jackson,michelle68@example.net,22,Male,Marystad,21,Furniture,Sofas,507.15,35.24,31x16x18,6025,10/12/2021,£1955.56,Standard,Cancelled,6025,982,369,2021-06-09,102,East Sandramouth,15189,6,Morgan LLC,New Marktown,2.48
1946,Stephen Powell,okelley@example.net,47,Male,East Chris,16,Furniture,Tables,284.34,9.95,34x5x16,1946,08-20-2022,£1381.84,Express,Cancelled,1946,905,257,2022-07-04,402,South Rhonda,14419,8,Parks-Gallegos,Jenkinsside,6.82
1507,James Hall,feliciaayers@example.net,40,Male,South Michaelberg,8,Clothing,Shoes,57.41,34.93,45x49x48,1507,24/02/2022,$1267.55,Standard,Delivered,1507,78,130,2022-07-21,174,Andrewsberg,14591,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
1005,Stephanie Davis,mbradley@example.org,68,Male,North Cameronport,8,Clothing,Shoes,24.62,1.05,24x13x34,1005,12/10/2020,$196.53,Express,Cancelled,1005,259,85,2021-03-21,328,North Jenniferburgh,10835,5,Morgan LLC,Port Robynmouth,1.23
9250,Dustin Coleman Jr.,kylesmith@example.net,49,Female,North Derrickmouth,0,Electronics,Smart Watches,574.54,11.23,30x32x42,9250,04/03/2021,£1365.84,Standard,Delivered,9250,705,158,2022-07-11,451,Flemingland,14843,8,Parks-Gallegos,Jenkinsside,6.82
9100,Tracy Davis,,22,Female,Boyerburgh,11,Clothing,Hats,576.39,18.93,20x28x50,9100,07-30-2023,$2640.16,Two-day,Shipped,9100,56,209,2022-04-04,312,Lake Lynnstad,17945,9,Johnson-Rodriguez,Katherineborough,7.81
2976,Tina Camacho,brian27@example.org,57,Male,East Kelseyfurt,16,Furniture,Tables,406.8,12.42,24x48x41,2976,17/03/2022,€4974.05,Two-day,Delivered,2976,479,57,2022-01-13,350,Guzmanfort,14952,5,Morgan LLC,Port Robynmouth,1.23
3218,Benjamin Horn,englishpatrick@example.net,67,Male,Lake Brandon,2,Electronics,Mobile Phones,726.49,26.07,45x21x45,3218,2020-10-31,£3423.7,Standard,Pending,3218,492,434,2021-04-12,405,Lake Sarabury,10368,8,Parks-Gallegos,Jenkinsside,6.82
4384,David Cox,judithmelton@example.org,58,Female,Jamesburgh,8,Clothing,Shoes,185.22,15.76,4x2x20,4384,04-03-2021,£468.18,Standard,Pending,4384,920,429,2021-05-23,70,Alexanderchester,15473,8,Parks-Gallegos,Jenkinsside,6.82
5994,Brandon Yoder,andrewlucero@example.com,64,Male,West Dustin,3,Furniture,Cabinets,300.0,18.38,46x45x15,5994,2021-01-21,€367.72,Two-day,Delivered,5994,953,446,2021-10-17,120,Sharonport,7476,3,Johnson-Rodriguez,Katherineborough,7.4
8048,Michael Johnston,shieldstammy@example.net,59,Male,South Eric,13,Electronics,Headphones,604.88,30.21,19x17x23,8048,04-28-2023,€1030.46,Express,Delivered,8048,785,105,2022-02-24,193,Markmouth,15936,9,Johnson-Rodriguez,Katherineborough,7.81
9640,Carolyn Craig,gary86@example.org,33,Female,South Kristenfurt,6,Furniture,Chairs,211.44,0.7,48x1x32,9640,28/01/2022,$1908.6,Express,Delivered,9640,570,211,2021-10-06,494,Roberttown,5465,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
2709,Andrew Miranda,michaeljackson@example.org,57,Female,West Deborahland,9,Furniture,Beds,788.2,26.92,35x42x28,2709,08-08-2021,£3576.68,Standard,Shipped,2709,455,89,2022-05-01,160,Port Vanessabury,13483,6,Morgan LLC,New Marktown,2.48
7295,Wendy Medina,wowens@example.net,65,Male,South Arianashire,21,Furniture,Sofas,861.8,3.19,2x21x16,7295,23/09/2021,£104.3,Standard,Cancelled,7295,985,366,2022-01-26,97,Robinstad,9214,6,Morgan LLC,New Marktown,2.48
7746,Stephen Gonzalez,danielle48@example.net,22,Female,West Jeanne,48,Clothing,Jeans,479.83,9.22,20x47x24,7746,2023-01-15,€16.57,Standard,Pending,7746,308,279,2021-01-09,373,Lake Williamburgh,19141,6,Morgan LLC,New Marktown,2.48
2953,Brenda Long,wendymercado@example.net,70,Male,Perryhaven,13,Electronics,Headphones,579.33,5.01,2x20x33,2953,25/10/2021,$1718.24,Standard,Shipped,2953,144,162,2021-12-04,335,New Sandraport,14136,2,Miller-Pearson,Clarkmouth,9.83
4390,Tyrone Strickland,leebryce@example.com,60,Female,South Kyle,8,Clothing,Shoes,494.5,33.26,24x13x47,4390,2020-12-13,£538.08,Standard,Shipped,4390,431,132,2022-08-25,262,Franklinstad,17158,8,Parks-Gallegos,Jenkinsside,6.82
6541,Bridget Brown,bbrown@example.com,56,Female,Miguelfurt,48,Clothing,Jeans,877.03,15.84,11x39x44,6541,2022-12-02,$731.18,Two-day,Shipped,6541,659,450,2021-11-13,176,Clarkborough,15512,3,Johnson-Rodriguez,Katherineborough,7.4
4270,Christopher Myers,lawrencejoshua@example.com,54,Male,Amystad,10,Electronics,Laptops,592.22,48.7,16x21x46,4270,17/12/2020,$219.27,Express,Cancelled,4270,111,347,2020-11-23,374,Williamschester,7140,0,Johnson-Rodriguez,Port Robynmouth,
1228,Nicole Cunningham,walterssandra@example.com,65,Female,West Jessica,0,Electronics,Smart Watches,111.31,41.26,46x19x36,1228,15/12/2020,£1793.74,Two-day,Shipped,1228,863,232,2021-06-02,87,New Leonard,5496,2,Miller-Pearson,Clarkmouth,9.83
9542,Margaret Brown,leslie34@example.org,23,Male,South Jennifer,9,Furniture,Beds,748.62,15.87,50x28x4,9542,15/11/2021,$2914.0,Two-day,Shipped,9542,205,72,2022-02-13,96,West Alicia,6904,5,Morgan LLC,Port Robynmouth,1.23
8576,Matthew Johnson,courtneyhicks@example.com,26,Male,Nicholasview,48,Clothing,Jeans,347.03,31.48,11x45x10,8576,05/11/2020,€1532.44,Express,Pending,8576,830,288,2021-02-25,296,Steventon,15238,8,Parks-Gallegos,Jenkinsside,6.82
175,Rebecca Bryant,whitediamond@example.org,42,Female,Shawnville,2,Electronics,Mobile Phones,338.15,1.31,36x20x30,175,25/06/2022,$1737.9,Standard,Cancelled,175,148,25,2020-09-11,17,Port Alyssa,13507,9,Johnson-Rodriguez,Katherineborough,7.81
799,Kristina Shepherd,markdickerson@example.org,51,Male,North Isabellashire,3,Furniture,Cabinets,469.57,17.06,41x20x29,799,11/03/2023,€1501.68,Express,Delivered,799,443,471,2021-10-11,152,Perryhaven,18114,5,Morgan LLC,Port Robynmouth,1.23
9496,Jimmy Wilson,isaiah58@example.org,27,Male,Johnfurt,8,Clothing,Shoes,109.1,42.99,34x27x15,9496,02/05/2022,€3322.55,Two-day,Delivered,9496,452,171,2020-09-22,26,Davidberg,17694,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
1195,Natasha Wood,qhenderson@example.net,34,Female,Stewartchester,3,Furniture,Cabinets,244.32,22.45,50x8x36,1195,2022-11-11,€1240.42,Standard,Shipped,1195,36,480,2022-01-02,57,Princemouth,6544,2,Miller-Pearson,Clarkmouth,9.83
6965,Patricia Jennings,franklindeborah@example.org,47,Male,South Markfurt,16,Furniture,Tables,95.13,49.83,16x41x11,6965,13/05/2023,$2391.6,Standard,Cancelled,6965,282,54,2021-10-12,399,New Laurie,18901,7,Miller Group,Clarkmouth,6.56
5509,Jordan Frey,douglasjames@example.net,40,Male,South Lisa,3,Furniture,Cabinets,859.88,27.77,15x15x47,5509,2022-12-10,€2221.26,Standard,Delivered,5509,589,45,2021-12-27,94,Aliciafurt,15318,5,Morgan LLC,Port Robynmouth,1.23
2175,Caleb Phelps,michaelvelez@example.org,32,Female,Stevenfurt,10,Electronics,Laptops,522.03,14.43,38x14x16,2175,03-28-2022,€143.85,Two-day,Pending,2175,434,119,2021-07-11,189,North Rebecca,15747,6,Morgan LLC,New Marktown,2.48
5167,Kelsey Estrada DDS,zimmermansara@example.com,32,Female,Port Amandaville,13,Electronics,Headphones,25.72,17.23,4x32x50,5167,2022-10-30,€1105.34,Standard,Cancelled,5167,897,227,2022-01-15,405,Lake Sarabury,10368,8,Parks-Gallegos,Jenkinsside,6.82
8122,David Drake,elizabeth24@example.com,27,Female,Mooremouth,12,Clothing,Dresses,185.17,33.77,28x27x6,8122,03/05/2021,$664.63,Standard,Delivered,8122,415,60,2021-01-12,360,Ericville,13688,5,Morgan LLC,Port Robynmouth,1.23
6988,Joel Garcia,zachary76@example.com,34,Female,Wisemouth,10,Electronics,Laptops,906.28,11.6,17x20x47,6988,11-21-2020,€560.92,Express,Delivered,6988,690,72,2021-09-16,201,Port Patrickchester,11919,9,Johnson-Rodriguez,Katherineborough,7.81
1159,Daniel Thompson,scottdebra@example.org,40,Male,Laneland,4,Clothing,T-Shirts,834.61,5.54,41x45x45,1159,2022-02-12,$1270.04,Two-day,Shipped,1159,849,77,2021-09-01,230,Port Meganport,8951,1,"Salas, Gonzalez and Todd",Patriciaberg,8.21
1356,John Lawrence MD,gkelly@example.net,18,Male,Lake Justinchester,11,Clothing,Hats,387.43,43.35,1x24x8,1356,2020-09-23,$1993.52,Two-day,Pending,1356,48,491,2021-08-27,397,Port Catherineview,17948,2,Miller-Pearson,Clarkmouth,9.83
2655,Megan Harrell,strongdenise@example.net,51,Male,Markfort,48,Clothing,Jeans,936.31,36.68,11x5x37,2655,10/12/2022,$919.94,Standard,Delivered,2655,667,385,2021-07-11,262,Franklinstad,17158,0,Johnson-Rodriguez,Port Robynmouth,
7324,Franklin Stewart,soniagomez@example.com,19,Male,North Dianefort,11,Clothing,Hats,775.62,49.89,27x28x7,7324,2021-08-04,£292.88,Standard,Shipped,7324,822,93,2020-11-21,289,Port Austin,16559,5,Morgan LLC,Port Robynmouth,1.23
616,Melinda Casey,rosariobrenda@example.org,37,Female,Smithburgh,8,Clothing,Shoes,229.81,30.12,19x22x50,616,09-20-2020,£1051.72,Express,Shipped,616,253,441,2021-11-30,53,Davidmouth,13536,7,Miller Group,Clarkmouth,6.56
6610,Robert Stewart,justinvincent@example.net,56,Male,Port Tanyamouth,6,Furniture,Chairs,839.48,36.36,31x50x3,6610,04-27-2022,$4387.25,Express,Shipped,6610,987,140,2021-05-20,477,New Jessicaburgh,10001,4,"Salas, Gonzalez and Todd",Jessicashire,2.35
8186,Kenneth Sanders,nathanmitchell@example.com,49,Male,Lake Roy,12,Clothing,Dresses,648.91,3.16,37x22x50,8186,20/02/2021,€550.78,Express,Shipped,8186,458,282,2022-07-15,5,East Coltonstad,13701,8,Parks-Gallegos,Jenkinsside,6.82
9142,Maxwell Tapia,ramoscameron@example.com,40,Female,East Michael,10,Electronics,Laptops,741.79,6.96,41x25x29,9142,08-26-2023,$2997.2,Two-day,Shipped,9142,162,280,2021-07-06,155,Wheelerfort,16008,8,Parks-Gallegos,Jenkinsside,6.82
4135,Michelle Robertson,timothyacevedo@example.net,25,Female,South Richard,12,Clothing,Dresses,279.9,43.97,1x37x48,4135,29/09/2022,$3166.2,Express,Shipped,4135,101,304,2021-06-14,28,Scottbury,8684,2,Miller-Pearson,Clarkmouth,9.83
8931,John Gomez,pamela09@example.com,23,Male,West Nancy,13,Electronics,Headphones,941.46,17.95,43x14x30,8931,16/05/2022,$1389.04,Two-day,Delivered,8931,170,187,2021-06-16,201,Port Patrickchester,11919,9,Johnson-Rodriguez,Katherineborough,7.81
6340,Samuel Torres,gregory77@example.com,39,Female,Lake Christina,0,Electronics,Smart Watches,891.17,8.75,38x6x19,6340,12-23-2020,£2348.84,Express,Shipped,6340,740,389,2021-11-22,432,North Markmouth,6241,7,Miller Group,Clarkmouth,6.56
